Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.68,11960000,00981A
2327,國巨*,8.67,23892000,00981A
2383,台光電,8.44,4486000,00981A
2454,聯發科,7.17,4861000,00981A
2345,智邦,5.18,6334000,00981A
6223,旺矽,4.91,2279000,00981A
2308,台達電,4.75,6572000,00981A
6669,緯穎,4.29,2492000,00981A
3017,奇鋐,4.18,5191000,00981A
3037,欣興,4.05,12466000,00981A
2368,金像電,3.78,8315000,00981A
2303,聯電,3.78,77390000,00981A
3711,日月光投控,3.7,17948000,00981A
3665,貿聯-KY,3.41,4833848,00981A
8046,南電,3.18,10828000,00981A
6274,台燿,3.12,5058000,00981A
3653,健策,3.02,2267000,00981A
5274,信驊,2.69,422000,00981A
6515,穎崴,1.38,436000,00981A
6510,精測,1.13,930000,00981A
6805,富世達,1.07,1811000,00981A
8210,勤誠,1.04,2267000,00981A
2449,京元電子,0.67,6484000,00981A
3533,嘉澤,0.66,852000,00981A
2317,鴻海,0.66,7307000,00981A
8996,高力,0.55,1034000,00981A
6187,萬潤,0.55,1334000,00981A
6147,頎邦,0.53,6275000,00981A
3443,創意,0.42,258000,00981A
8150,南茂,0.41,11635000,00981A
5439,高技,0.39,3528000,00981A
4966,譜瑞-KY,0.38,1642000,00981A
4958,臻鼎-KY,0.31,1428000,00981A
6278,台表科,0.3,4334000,00981A
1590,亞德客-KY,0.25,530000,00981A
8358,金居,0.23,980000,00981A
6271,同欣電,0.16,1966000,00981A
6191,精成科,0.13,3988000,00981A
6488,環球晶,0.13,350000,00981A
3264,欣銓,0.12,1508000,00981A
3376,新日興,0.12,1741000,00981A
2002,中鋼,0.03,5163000,00981A
2313,華通,0.03,329000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
3008,大立光,0.0,1000,00981A
2382,廣達,0.0,1000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
2330,台積電,18.29,13300000,00403A
2327,國巨*,6.19,10050000,00403A
2303,聯電,6.01,72400000,00403A
3037,欣興,4.95,8960000,00403A
2344,華邦電,4.84,38800000,00403A
3017,奇鋐,4.45,3250000,00403A
2383,台光電,4.31,1350000,00403A
2368,金像電,3.63,4700000,00403A
6223,旺矽,3.29,900000,00403A
2454,聯發科,3.21,1280000,00403A
2308,台達電,2.98,2430000,00403A
2345,智邦,2.92,2100000,00403A
4958,臻鼎-KY,2.36,6440000,00403A
6669,緯穎,2.31,790000,00403A
3653,健策,1.88,830000,00403A
6274,台燿,1.78,1700000,00403A
3533,嘉澤,1.62,1240000,00403A
2337,旺宏,1.58,16350000,00403A
3711,日月光投控,1.57,4500000,00403A
8996,高力,1.36,1502000,00403A
6488,環球晶,1.27,2000000,00403A
3443,創意,1.19,430000,00403A
7769,鴻勁,1.11,279000,00403A
6515,穎崴,1.08,200000,00403A
5347,世界,0.99,9911000,00403A
3665,貿聯-KY,0.98,820000,00403A
6442,光聖,0.89,801000,00403A
6147,頎邦,0.81,5600000,00403A
2360,致茂,0.8,610000,00403A
3529,力旺,0.73,390000,00403A
8358,金居,0.68,1710000,00403A
3081,聯亞,0.63,450000,00403A
1303,南亞,0.6,7550000,00403A
6805,富世達,0.57,570000,00403A
3189,景碩,0.57,1380000,00403A
8046,南電,0.54,1080000,00403A
5274,信驊,0.49,45000,00403A
2317,鴻海,0.49,3200000,00403A
3583,辛耘,0.46,900000,00403A
3211,順達,0.39,1560000,00403A
4966,譜瑞-KY,0.36,900000,00403A
1560,中砂,0.32,800000,00403A
6196,帆宣,0.32,1000000,00403A
3105,穩懋,0.29,957000,00403A
6415,矽力*-KY,0.27,750000,00403A
8210,勤誠,0.22,280000,00403A
2049,上銀,0.19,1010000,00403A
4979,華星光,0.19,600000,00403A
2455,全新,0.11,450000,00403A
8299,群聯,0.0,1000,00403A
MU US,MICRON TECHNOLOGY INC,6.12,110500,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),5.68,80000,00988A
285A JP,KIOXIA HOLDINGS CORP,5.35,168000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),5.04,185000,00988A
SNDK US,SANDISK CORP,4.06,39000,00988A
MRVL US,MARVELL TECHNOLOGY INC,3.54,230000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,3.46,960000,00988A
2454,聯發科,3.08,410000,00988A
2383,台光電,2.89,330000,00988A
LITE US,LUMENTUM HOLDINGS INC,2.86,62000,00988A
3037,欣興,2.74,1650000,00988A
WDC US,WESTERN DIGITAL CORP,2.72,72000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.65,557550,00988A
6976 JP,TAIYO YUDEN CO LTD,2.63,380000,00988A
BE US,BLOOM ENERGY CORP- A,2.57,170000,00988A
6997 JP,NIPPON CHEMI-CON CORP,2.21,1275100,00988A
4062 JP,IBIDEN CO LTD,2.19,275000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,2.07,175000,00988A
