Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,17.45,12680000,00403A
2303,聯電,5.33,77800000,00403A
3017,奇鋐,5.11,3450000,00403A
2383,台光電,4.32,1495000,00403A
2454,聯發科,4.08,1795000,00403A
3037,欣興,3.82,7600000,00403A
6223,旺矽,3.37,1000000,00403A
2344,華邦電,3.32,40000000,00403A
2345,智邦,3.13,2307000,00403A
2308,台達電,2.79,3040000,00403A
3711,日月光投控,2.27,6400000,00403A
3653,健策,2.25,1030000,00403A
6669,緯穎,2.06,600000,00403A
2327,國巨*,1.92,6000000,00403A
4958,臻鼎-KY,1.51,6154000,00403A
5274,信驊,1.47,158500,00403A
3533,嘉澤,1.44,1240000,00403A
6488,環球晶,1.31,2600000,00403A
3189,景碩,1.3,3217000,00403A
3443,創意,1.24,510000,00403A
3665,貿聯-KY,1.23,1010000,00403A
6274,台燿,1.19,1680000,00403A
7769,鴻勁,1.12,300000,00403A
2360,致茂,1.02,897000,00403A
8046,南電,0.97,1750000,00403A
8996,高力,0.87,1600000,00403A
6805,富世達,0.6,700000,00403A
1560,中砂,0.53,1350000,00403A
6239,力成,0.52,3740000,00403A
2337,旺宏,0.48,7498000,00403A
2317,鴻海,0.47,3200000,00403A
1303,南亞,0.44,4587000,00403A
3008,大立光,0.39,170000,00403A
3211,順達,0.36,2000000,00403A
3583,辛耘,0.35,900000,00403A
4966,譜瑞-KY,0.27,800000,00403A
8358,金居,0.25,1312000,00403A
2049,上銀,0.19,1010000,00403A
6442,光聖,0.17,225000,00403A
2404,漢唐,0.16,250000,00403A
6415,矽力*-KY,0.15,624000,00403A
6515,穎崴,0.11,29000,00403A
3264,欣銓,0.08,700000,00403A
3450,聯鈞,0.08,337000,00403A
2481,強茂,0.07,869000,00403A
2455,全新,0.06,336000,00403A
6285,啟碁,0.03,250000,00403A
1717,長興,0.02,500000,00403A
8299,群聯,0.0,1000,00403A
6196,帆宣,0.0,1000,00403A
5347,世界,0.0,1000,00403A
MU US,MICRON TECHNOLOGY INC,6.11,123569,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),5.86,205000,00988A
AMAT US,APPLIED MATERIALS INC,4.12,135000,00988A
2383,台光電,3.92,445000,00988A
3037,欣興,3.8,2600000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,3.75,1350000,00988A
WDC US,WESTERN DIGITAL CORP,3.43,105000,00988A
2330,台積電,3.38,750000,00988A
LITE US,LUMENTUM HOLDINGS INC,3.3,77000,00988A
285A JP,KIOXIA HOLDINGS CORP,3.13,180000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),3.11,65000,00988A
2454,聯發科,2.94,445000,00988A
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,2.8,225000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.67,625000,00988A
BE US,BLOOM ENERGY CORP- A,2.6,210000,00988A
TSEM US,TOWER SEMICONDUCTOR LTD,2.46,186825,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.31,205000,00988A
8035 JP,TOKYO ELECTRON LTD,2.29,110000,00988A
SNDK US,SANDISK CORP,2.04,28000,00988A
3665,貿聯-KY,2.03,520000,00988A
PANW US,PALO ALTO NETWORKS INC,1.99,100000,00988A
6871 JP,MICRONICS JAPAN CO LTD,1.88,370000,00988A
6223,旺矽,1.86,190000,00988A
3711,日月光投控,1.86,1800000,00988A
NOW US,SERVICENOW INC,1.8,270000,00988A
6976 JP,TAIYO YUDEN CO LTD,1.72,450000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.49,1275100,00988A
2327,國巨*,1.45,1550000,00988A
LMT US,LOCKHEED MARTIN CORP,1.33,38000,00988A
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),1.14,65000,00988A
2308,台達電,0.97,320000,00988A
FTNT US,FORTINET INC,0.97,100000,00988A
VECO US,VEECO INSTRUMENTS INC,0.93,310000,00988A
6920 JP,LASERTEC CORP,0.92,65000,00988A
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,0.89,899909,00988A
MPWR US,MONOLITHIC POWER SYSTEMS INC,0.86,10000,00988A
