Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,10.74,11960000,00981A
2383,台光電,8.37,4653000,00981A
2454,聯發科,7.01,5131000,00981A
2327,國巨*,6.26,25098000,00981A
6223,旺矽,5.35,2443000,00981A
2345,智邦,5.24,6334000,00981A
3037,欣興,5.21,16971000,00981A
3017,奇鋐,4.69,5423000,00981A
6669,緯穎,4.5,2417000,00981A
2303,聯電,4.34,86550000,00981A
8046,南電,4.22,9519000,00981A
2308,台達電,3.8,5567000,00981A
3711,日月光投控,3.8,16135000,00981A
3665,貿聯-KY,3.6,4833848,00981A
2368,金像電,3.04,8315000,00981A
3653,健策,2.97,2267000,00981A
6274,台燿,2.37,5160000,00981A
5274,信驊,2.36,448900,00981A
6805,富世達,0.99,1881000,00981A
8210,勤誠,0.98,2267000,00981A
2449,京元電子,0.64,6197000,00981A
6187,萬潤,0.5,1334000,00981A
6147,頎邦,0.37,5752000,00981A
6510,精測,0.34,349000,00981A
6515,穎崴,0.32,130000,00981A
5439,高技,0.28,2940000,00981A
6278,台表科,0.27,4334000,00981A
1590,亞德客-KY,0.27,528000,00981A
6271,同欣電,0.22,2966000,00981A
6191,精成科,0.13,3988000,00981A
3264,欣銓,0.12,1508000,00981A
3376,新日興,0.12,1741000,00981A
2002,中鋼,0.04,5163000,00981A
4966,譜瑞-KY,0.03,140000,00981A
8996,高力,0.0,1000,00981A
8358,金居,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,1000,00981A
3443,創意,0.0,1000,00981A
2439,美律,0.0,1000,00981A
3008,大立光,0.0,1000,00981A
4958,臻鼎-KY,0.0,1000,00981A
2382,廣達,0.0,1000,00981A
3533,嘉澤,0.0,1000,00981A
6488,環球晶,0.0,1000,00981A
2313,華通,0.0,1000,00981A
8150,南茂,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
2330,台積電,18.78,12800000,00403A
2303,聯電,6.14,75000000,00403A
3017,奇鋐,4.87,3450000,00403A
2344,華邦電,3.79,40000000,00403A
2454,聯發科,3.75,1680000,00403A
2383,台光電,3.7,1260000,00403A
3037,欣興,3.59,7142000,00403A
6223,旺矽,3.58,1000000,00403A
2308,台達電,3.15,2820000,00403A
2345,智邦,2.97,2200000,00403A
3711,日月光投控,2.47,6400000,00403A
2327,國巨*,2.45,6000000,00403A
6669,緯穎,2.4,790000,00403A
4958,臻鼎-KY,2.15,6934000,00403A
3653,健策,1.87,874000,00403A
6488,環球晶,1.72,2350000,00403A
3533,嘉澤,1.53,1240000,00403A
3189,景碩,1.46,3217000,00403A
8046,南電,1.27,1750000,00403A
6274,台燿,1.26,1680000,00403A
2368,金像電,1.23,2060000,00403A
3443,創意,1.2,480000,00403A
7769,鴻勁,1.19,300000,00403A
1303,南亞,1.18,9900000,00403A
8996,高力,0.96,1600000,00403A
5274,信驊,0.94,109500,00403A
2360,致茂,0.83,680000,00403A
2337,旺宏,0.75,10000000,00403A
6515,穎崴,0.6,149000,00403A
6805,富世達,0.53,620000,00403A
2317,鴻海,0.48,3200000,00403A
3665,貿聯-KY,0.46,376000,00403A
3211,順達,0.42,1800000,00403A
8358,金居,0.42,1750000,00403A
3583,辛耘,0.41,900000,00403A
1560,中砂,0.31,750000,00403A
4966,譜瑞-KY,0.28,800000,00403A
6415,矽力*-KY,0.25,900000,00403A
6239,力成,0.23,1400000,00403A
2049,上銀,0.19,1010000,00403A
6442,光聖,0.17,225000,00403A
3008,大立光,0.15,60000,00403A
2404,漢唐,0.1,140000,00403A
3264,欣銓,0.08,600000,00403A
2455,全新,0.06,336000,00403A
6285,啟碁,0.01,100000,00403A
8299,群聯,0.0,1000,00403A
6196,帆宣,0.0,1000,00403A
6147,頎邦,0.0,1000,00403A
5347,世界,0.0,1000,00403A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),6.1,205000,00988A
MU US,MICRON TECHNOLOGY INC,4.91,96000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),4.41,83000,00988A
AMAT US,APPLIED MATERIALS INC,4.19,135000,00988A
BE US,BLOOM ENERGY CORP- A,3.61,310000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,3.47,1250000,00988A
285A JP,KIOXIA HOLDINGS CORP,3.41,180000,00988A
3037,欣興,3.29,2400000,00988A
2330,台積電,3.18,750000,00988A
2383,台光電,2.98,370000,00988A
SNDK US,SANDISK CORP,2.87,35000,00988A
2327,國巨*,2.77,2400000,00988A
2454,聯發科,2.72,445000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.7,625000,00988A
8035 JP,TOKYO ELECTRON LTD,2.6,110000,00988A
6976 JP,TAIYO YUDEN CO LTD,2.41,600000,00988A
3436 JP,SUMCO CORP,2.24,1572000,00988A
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,2.0,160000,00988A
6920 JP,LASERTEC CORP,1.98,130000,00988A
3711,日月光投控,1.97,1800000,00988A
KLAC US,KLA CORP,1.96,160000,00988A
FTNT US,FORTINET INC,1.89,200000,00988A
PANW US,PALO ALTO NETWORKS INC,1.85,90000,00988A
STM US,STMICROELECTRONICS NV-NY SHS,1.73,475000,00988A
LITE US,LUMENTUM HOLDINGS INC,1.67,37000,00988A
NOW US,SERVICENOW INC,1.67,270000,00988A
6871 JP,MICRONICS JAPAN CO LTD,1.52,300000,00988A
VECO US,VEECO INSTRUMENTS INC,1.5,500000,00988A
MRVL US,MARVELL TECHNOLOGY INC,1.5,130000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.47,1275100,00988A
6223,旺矽,1.45,145000,00988A
WDC US,WESTERN DIGITAL CORP,1.44,50000,00988A
2303,聯電,1.43,6000000,00988A
TSEM US,TOWER SEMICONDUCTOR LTD,1.41,105000,00988A
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,0.62,189988,00988A
2308,台達電,0.55,175000,00988A
AIXA GY,AIXTRON SE,0.53,200000,00988A
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,0.48,599909,00988A
3017,奇鋐,0.45,115000,00988A
4062 JP,IBIDEN CO LTD,0.34,60000,00988A
6278 JP,UNION TOOL CO,0.19,30000,00988A
AMD US,ADVANCED MICRO DEVICES,6.86,163179,00990A
LITE US,LUMENTUM HOLDINGS INC,5.31,83032,00990A
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,4.05,56363,00990A
AMAT US,APPLIED MATERIALS INC,3.66,83386,00990A
MU US,MICRON TECHNOLOGY INC,3.19,44151,00990A
285A JP,KIOXIA HOLDINGS CORP,2.74,102400,00990A
2330,台積電,2.7,450000,00990A
GOOGL US,ALPHABET INC-CL A,2.61,88720,00990A
IFX GR,INFINEON TECHNOLOGIES AG,2.6,427856,00990A
WDC US,WESTERN DIGITAL CORP,2.58,63342,00990A
2308,台達電,2.49,565000,00990A
6981 JP,MURATA MANUFACTURING CO LTD,2.17,552000,00990A
MSFT US,MICROSOFT CORP,2.16,64400,00990A
AMZN US,AMAZON.COM INC,2.14,102400,00990A
META US,META PLATFORMS INC-CLASS A,2.08,38640,00990A
8035 JP,TOKYO ELECTRON LTD,2.07,61700,00990A
LRCX US,LAM RESEARCH CORP,2.06,80473,00990A
