Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,10.78,11960000,00981A
2383,台光電,8.94,4597000,00981A
2327,國巨*,8.18,25098000,00981A
2454,聯發科,7.5,5131000,00981A
6223,旺矽,5.77,2443000,00981A
2345,智邦,5.59,6334000,00981A
2303,聯電,5.16,86550000,00981A
3037,欣興,4.8,15203000,00981A
6669,緯穎,4.46,2417000,00981A
3017,奇鋐,4.41,5191000,00981A
8046,南電,3.62,8949000,00981A
2368,金像電,3.5,8315000,00981A
2308,台達電,3.48,5052000,00981A
3665,貿聯-KY,3.36,4833848,00981A
6274,台燿,3.1,5160000,00981A
3711,日月光投控,2.91,12742000,00981A
3653,健策,2.65,2267000,00981A
5274,信驊,2.13,416900,00981A
8210,勤誠,0.99,2267000,00981A
6805,富世達,0.92,1811000,00981A
6515,穎崴,0.57,204000,00981A
6187,萬潤,0.47,1334000,00981A
6147,頎邦,0.46,6275000,00981A
5439,高技,0.44,3528000,00981A
6510,精測,0.43,411000,00981A
6278,台表科,0.32,4334000,00981A
6271,同欣電,0.28,2966000,00981A
1590,亞德客-KY,0.26,528000,00981A
2449,京元電子,0.21,1886000,00981A
6191,精成科,0.15,3988000,00981A
3264,欣銓,0.13,1508000,00981A
3376,新日興,0.13,1741000,00981A
2002,中鋼,0.04,5163000,00981A
4966,譜瑞-KY,0.03,140000,00981A
6488,環球晶,0.02,50000,00981A
8996,高力,0.0,1000,00981A
8358,金居,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
3443,創意,0.0,1000,00981A
2439,美律,0.0,1000,00981A
3008,大立光,0.0,1000,00981A
4958,臻鼎-KY,0.0,1000,00981A
2382,廣達,0.0,1000,00981A
3533,嘉澤,0.0,1000,00981A
2313,華通,0.0,1000,00981A
8150,南茂,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
2330,台積電,19.48,12800000,00403A
2303,聯電,7.55,75000000,00403A
3017,奇鋐,4.95,3450000,00403A
2327,國巨*,4.95,9000000,00403A
2344,華邦電,4.12,39600000,00403A
6223,旺矽,3.99,1000000,00403A
2454,聯發科,3.95,1600000,00403A
3037,欣興,3.76,7064000,00403A
2383,台光電,3.74,1140000,00403A
2345,智邦,3.13,2100000,00403A
2308,台達電,2.83,2430000,00403A
6669,緯穎,2.46,790000,00403A
3711,日月光投控,2.28,5900000,00403A
4958,臻鼎-KY,2.25,6440000,00403A
2368,金像電,1.95,2750000,00403A
6274,台燿,1.73,1700000,00403A
6488,環球晶,1.6,2100000,00403A
3653,健策,1.54,780000,00403A
3533,嘉澤,1.52,1240000,00403A
3189,景碩,1.5,3217000,00403A
3443,創意,1.3,480000,00403A
8996,高力,1.27,1560000,00403A
7769,鴻勁,1.04,279000,00403A
6515,穎崴,0.95,200000,00403A
1303,南亞,0.89,7920000,00403A
2337,旺宏,0.86,10000000,00403A
8046,南電,0.72,1050000,00403A
8358,金居,0.63,1950000,00403A
2360,致茂,0.52,450000,00403A
6805,富世達,0.49,570000,00403A
3211,順達,0.48,1800000,00403A
2317,鴻海,0.47,3200000,00403A
3583,辛耘,0.44,900000,00403A
1560,中砂,0.43,1000000,00403A
5274,信驊,0.43,49500,00403A
6196,帆宣,0.34,1000000,00403A
4966,譜瑞-KY,0.33,800000,00403A
6415,矽力*-KY,0.31,900000,00403A
6442,光聖,0.28,300000,00403A
3529,力旺,0.26,160000,00403A
2049,上銀,0.21,1010000,00403A
3665,貿聯-KY,0.19,166000,00403A
6239,力成,0.18,900000,00403A
6147,頎邦,0.12,1000000,00403A
3264,欣銓,0.09,600000,00403A
2455,全新,0.09,450000,00403A
8299,群聯,0.0,1000,00403A
8210,勤誠,0.0,1000,00403A
4979,華星光,0.0,1000,00403A
5347,世界,0.0,1000,00403A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),5.52,195000,00988A
MU US,MICRON TECHNOLOGY INC,5.46,106000,00988A
285A JP,KIOXIA HOLDINGS CORP,5.02,204800,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),4.83,83000,00988A
6976 JP,TAIYO YUDEN CO LTD,4.21,760000,00988A
SNDK US,SANDISK CORP,3.99,45000,00988A
AMAT US,APPLIED MATERIALS INC,3.5,115000,00988A
2327,國巨*,3.4,2200000,00988A
BE US,BLOOM ENERGY CORP- A,3.4,230000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,3.32,1066000,00988A
3037,欣興,3.15,2200000,00988A
2454,聯發科,3.06,445000,00988A
2383,台光電,2.94,330000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.91,230000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.78,625000,00988A
WDC US,WESTERN DIGITAL CORP,2.63,90000,00988A
LITE US,LUMENTUM HOLDINGS INC,2.38,62000,00988A
005930 KS,samsung electronics co ltd(005930 KS),2.09,200000,00988A
8035 JP,TOKYO ELECTRON LTD,2.07,88000,00988A
3436 JP,SUMCO CORP,2.0,1291200,00988A
2330,台積電,1.87,450000,00988A
4062 JP,IBIDEN CO LTD,1.85,275000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.83,1275100,00988A
STM US,STMICROELECTRONICS NV-NY SHS,1.75,475000,00988A
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,1.62,120000,00988A
VSH US,VISHAY INTERTECHNOLOGY INC,1.62,700429,00988A
2303,聯電,1.59,6000000,00988A
KLAC US,KLA CORP,1.54,130000,00988A
6920 JP,LASERTEC CORP,1.3,87500,00988A
6223,旺矽,1.24,115000,00988A
3711,日月光投控,1.22,1100000,00988A
AIXA GY,AIXTRON SE,1.05,380000,00988A
6274,台燿,1.01,375000,00988A
COHR US,COHERENT INC,0.95,55000,00988A
000660 KS,SK HYNIX INC,0.93,12000,00988A
3017,奇鋐,0.9,215000,00988A
6871 JP,MICRONICS JAPAN CO LTD,0.72,140000,00988A
688146 CH,PERIC SPECIAL GASES CO LTD-A,0.61,240000,00988A
6278 JP,UNION TOOL CO,0.59,90000,00988A
2308,台達電,0.56,175000,00988A
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,0.45,399909,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,0.45,50000,00988A
AMD US,ADVANCED MICRO DEVICES,6.44,163179,00990A
285A JP,KIOXIA HOLDINGS CORP,5.21,152400,00990A
MU US,MICRON TECHNOLOGY INC,5.2,72471,00990A
SNDK US,SANDISK CORP,4.94,39933,00990A
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,4.67,56363,00990A
6976 JP,TAIYO YUDEN CO LTD,4.52,585200,00990A
AMAT US,APPLIED MATERIALS INC,3.54,83386,00990A
6981 JP,MURATA MANUFACTURING CO LTD,3.0,689500,00990A
BE US,BLOOM ENERGY CORP- A,2.85,138100,00990A
2454,聯發科,2.82,294000,00990A
LITE US,LUMENTUM HOLDINGS INC,2.75,51385,00990A
IFX GR,INFINEON TECHNOLOGIES AG,2.65,427856,00990A
2330,台積電,2.61,450000,00990A
WDC US,WESTERN DIGITAL CORP,2.58,63342,00990A
2308,台達電,2.54,565000,00990A
MRVL US,MARVELL TECHNOLOGY INC,2.39,135300,00990A
000660 KP,SK HYNIX INC,2.21,19980,00990A
4062 JP,IBIDEN CO LTD,2.21,235100,00990A
3436 JP,SUMCO CORP,2.06,953500,00990A
LRCX US,LAM RESEARCH CORP,2.01,80473,00990A
6723 JP,RENESAS ELECTRONICS CORP,1.88,837700,00990A
2383,台光電,1.79,144000,00990A
MKSI US,MKS INC,1.77,66300,00990A
3037,欣興,1.54,773000,00990A
8035 JP,TOKYO ELECTRON LTD,1.52,46300,00990A
6525 JP,KOKUSAI ELECTRIC CORP,1.39,286400,00990A
2303,聯電,1.2,3265000,00990A
7735 JP,SCREEN HOLDINGS CO LTD,1.19,147300,00990A
COHR US,COHERENT CORP,1.14,47240,00990A
6223,旺矽,1.13,75000,00990A
5347,世界,1.04,2498000,00990A
6274,台燿,1.0,268000,00990A
6997 JP,NIPPON CHEMI-CON CORP,0.96,479600,00990A
ONTO US,ONTO INNOVATION INC,0.95,44500,00990A
ASML US,ASML HOLDING NV-NY REG SHS,0.85,6340,00990A
VICR US,VICOR CORP,0.85,43400,00990A
INTC US,INTEL CORP,0.83,98800,00990A
UCTT US,ULTRA CLEAN HOLDINGS INC,0.81,116184,00990A
PENG US,PENGUIN SOLUTIONS INC,0.8,166400,00990A
3443,創意,0.74,69000,00990A
VECO US,VEECO INSTRUMENTS INC,0.71,173000,00990A
3711,日月光投控,0.7,455000,00990A
3665,貿聯-KY,0.68,144000,00990A
2449,京元電子,0.63,834000,00990A
4958,臻鼎-KY,0.61,468000,00990A
ON US,ON SEMICONDUCTOR,0.52,74800,00990A
GLW US,CORNING INC,0.33,23068,00990A
2330,台積電,8.35,1406000,00992A
2383,台光電,7.21,563000,00992A
2059,川湖,5.72,293000,00992A
2345,智邦,5.69,977000,00992A
3017,奇鋐,5.65,1009000,00992A
8996,高力,5.18,1630000,00992A
6223,旺矽,5.07,326000,00992A
3665,貿聯-KY,4.37,955000,00992A
3037,欣興,4.36,2097000,00992A
3008,大立光,4.0,420000,00992A
2454,聯發科,3.91,406000,00992A
6584,南俊國際,3.64,2231000,00992A
2327,國巨*,3.36,1566000,00992A
3443,創意,3.3,311000,00992A
6187,萬潤,2.81,1220000,00992A
2303,聯電,2.75,7000000,00992A
3711,日月光投控,2.45,1629000,00992A
8299,群聯,2.29,445000,00992A
6515,穎崴,2.23,120000,00992A
2455,全新,2.22,2753000,00992A
3661,世芯-KY,2.11,215000,00992A
8021,尖點,1.87,1501000,00992A
6182,合晶,1.73,4500000,00992A
7751,竑騰,1.27,372000,00992A
6488,環球晶,1.17,394000,00992A
3583,辛耘,1.07,566000,00992A
3189,景碩,0.8,440013,00992A
6139,亞翔,0.52,250000,00992A
3363,上詮,0.46,300000,00992A
2337,旺宏,0.45,1343000,00992A
7734,印能科技,0.38,56000,00992A
6805,富世達,0.37,109000,00992A
5289,宜鼎,0.36,98000,00992A
3260,威剛,0.35,358000,00992A
3264,欣銓,0.04,72000,00992A
3491,昇達科,0.0,1000,00992A
2330,台積電,9.45,1967000,00982A
5536,聖暉*,9.13,3716000,00982A
2454,聯發科,6.68,857000,00982A
6139,亞翔,5.18,3067000,00982A
6223,旺矽,3.87,307000,00982A
2345,智邦,3.74,794000,00982A
4958,臻鼎-KY,3.47,3147000,00982A
2383,台光電,3.38,326000,00982A
3105,穩懋,3.34,4143000,00982A
2360,致茂,2.98,823000,00982A
6669,緯穎,2.92,297000,00982A
2059,川湖,2.89,183000,00982A
2303,聯電,2.84,8921000,00982A
6488,環球晶,2.72,1134000,00982A
3491,昇達科,2.39,967000,00982A
6257,矽格,2.21,4627000,00982A
3264,欣銓,2.09,4628000,00982A
3017,奇鋐,1.85,407000,00982A
3583,辛耘,1.69,1105000,00982A
2472,立隆電,1.6,2342000,00982A
2377,微星,1.56,5638000,00982A
2467,志聖,1.55,1439000,00982A
3008,大立光,1.53,199000,00982A
1785,光洋科,1.53,5455000,00982A
8016,矽創,1.5,2185000,00982A
2327,國巨*,1.47,844000,00982A
2316,楠梓電,1.43,3375000,00982A
6274,台燿,1.4,436000,00982A
6531,愛普*,1.25,694000,00982A
3711,日月光投控,1.21,996000,00982A
3702,大聯大,1.1,5340000,00982A
7769,鴻勁,1.07,91000,00982A
8996,高力,0.97,376000,00982A
3036,文曄,0.93,2269000,00982A
6147,頎邦,0.89,2300000,00982A
2368,金像電,0.87,386000,00982A
6278,台表科,0.85,2167000,00982A
2376,技嘉,0.69,1056000,00982A
6239,力成,0.43,700000,00982A
2351,順德,0.36,900000,00982A
6805,富世達,0.33,121000,00982A
2885,元大金,0.29,2114420,00982A
5274,信驊,0.27,9900,00982A
2451,創見,0.25,519000,00982A
6187,萬潤,0.17,91000,00982A
3376,新日興,0.14,359000,00982A
6177,達麗,0.02,194350,00982A
3443,創意,0.01,1000,00982A
8046,南電,0.0,1000,00982A
