Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,10.33,11960000,00981A
2327,國巨*,8.86,25098000,00981A
2383,台光電,8.62,4486000,00981A
2454,聯發科,7.3,5037000,00981A
2345,智邦,5.88,6334000,00981A
6223,旺矽,5.73,2382000,00981A
2303,聯電,5.04,86550000,00981A
3037,欣興,4.89,15203000,00981A
3017,奇鋐,4.87,5191000,00981A
6669,緯穎,4.27,2417000,00981A
2368,金像電,3.58,8315000,00981A
2308,台達電,3.54,5052000,00981A
8046,南電,3.38,8949000,00981A
3665,貿聯-KY,3.3,4833848,00981A
3711,日月光投控,3.04,12742000,00981A
6274,台燿,2.95,5160000,00981A
3653,健策,2.64,2267000,00981A
5274,信驊,2.17,379000,00981A
8210,勤誠,1.03,2267000,00981A
6805,富世達,1.0,1811000,00981A
6515,穎崴,0.71,226000,00981A
6187,萬潤,0.48,1334000,00981A
6147,頎邦,0.48,6275000,00981A
6510,精測,0.44,411000,00981A
5439,高技,0.43,3528000,00981A
2449,京元電子,0.42,3427000,00981A
6278,台表科,0.31,4334000,00981A
6271,同欣電,0.28,2966000,00981A
1590,亞德客-KY,0.26,528000,00981A
6191,精成科,0.15,3988000,00981A
3264,欣銓,0.14,1508000,00981A
3376,新日興,0.12,1741000,00981A
4966,譜瑞-KY,0.03,140000,00981A
2002,中鋼,0.03,5163000,00981A
6488,環球晶,0.02,50000,00981A
8996,高力,0.0,1000,00981A
8358,金居,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
3443,創意,0.0,1000,00981A
2439,美律,0.0,1000,00981A
3008,大立光,0.0,1000,00981A
4958,臻鼎-KY,0.0,1000,00981A
2382,廣達,0.0,1000,00981A
3533,嘉澤,0.0,1000,00981A
2313,華通,0.0,1000,00981A
8150,南茂,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
2330,台積電,18.64,12800000,00403A
2303,聯電,7.37,75000000,00403A
2327,國巨*,5.98,10050000,00403A
3017,奇鋐,5.45,3450000,00403A
2344,華邦電,4.29,39600000,00403A
3037,欣興,4.07,7500000,00403A
6223,旺矽,4.06,1000000,00403A
2383,台光電,3.69,1140000,00403A
2454,聯發科,3.64,1490000,00403A
2345,智邦,3.29,2100000,00403A
2308,台達電,2.87,2430000,00403A
6669,緯穎,2.35,790000,00403A
3711,日月光投控,2.25,5600000,00403A
4958,臻鼎-KY,2.21,6440000,00403A
2368,金像電,1.99,2750000,00403A
6274,台燿,1.64,1700000,00403A
6488,環球晶,1.58,2000000,00403A
3533,嘉澤,1.56,1240000,00403A
3653,健策,1.53,780000,00403A
3189,景碩,1.45,3217000,00403A
8996,高力,1.32,1560000,00403A
3443,創意,1.31,480000,00403A
7769,鴻勁,1.12,279000,00403A
6515,穎崴,1.06,200000,00403A
2337,旺宏,0.86,10000000,00403A
1303,南亞,0.83,7550000,00403A
8358,金居,0.65,1950000,00403A
2360,致茂,0.58,450000,00403A
6805,富世達,0.53,570000,00403A
8046,南電,0.51,795000,00403A
2317,鴻海,0.46,3200000,00403A
3583,辛耘,0.46,900000,00403A
3211,順達,0.45,1800000,00403A
3529,力旺,0.45,269000,00403A
1560,中砂,0.44,1000000,00403A
5274,信驊,0.43,45000,00403A
6196,帆宣,0.34,1000000,00403A
6415,矽力*-KY,0.33,900000,00403A
4966,譜瑞-KY,0.3,800000,00403A
6442,光聖,0.28,300000,00403A
2049,上銀,0.22,1010000,00403A
3665,貿聯-KY,0.19,166000,00403A
6239,力成,0.18,900000,00403A
6147,頎邦,0.13,1000000,00403A
3264,欣銓,0.09,600000,00403A
2455,全新,0.09,450000,00403A
8299,群聯,0.0,1000,00403A
8210,勤誠,0.0,1000,00403A
4979,華星光,0.0,1000,00403A
5347,世界,0.0,1000,00403A
MU US,MICRON TECHNOLOGY INC,5.99,116000,00988A
285A JP,KIOXIA HOLDINGS CORP,5.61,204800,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),5.49,80000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),5.34,195000,00988A
6976 JP,TAIYO YUDEN CO LTD,5.14,760000,00988A
SNDK US,SANDISK CORP,4.16,45000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,3.88,1066000,00988A
3037,欣興,3.53,2200000,00988A
2327,國巨*,3.46,2000000,00988A
2383,台光電,3.32,330000,00988A
BE US,BLOOM ENERGY CORP- A,3.3,230000,00988A
2454,聯發科,3.09,445000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.99,230000,00988A
AMAT US,APPLIED MATERIALS INC,2.97,93000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.93,625000,00988A
WDC US,WESTERN DIGITAL CORP,2.57,90000,00988A
LITE US,LUMENTUM HOLDINGS INC,2.39,62000,00988A
6997 JP,NIPPON CHEMI-CON CORP,2.34,1275100,00988A
3436 JP,SUMCO CORP,2.16,1291200,00988A
8035 JP,TOKYO ELECTRON LTD,2.12,88000,00988A
4062 JP,IBIDEN CO LTD,2.11,275000,00988A
2330,台積電,1.82,450000,00988A
STM US,STMICROELECTRONICS NV-NY SHS,1.72,475000,00988A
VSH US,VISHAY INTERTECHNOLOGY INC,1.7,700429,00988A
2303,聯電,1.69,6000000,00988A
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,1.54,120000,00988A
6223,旺矽,1.4,115000,00988A
6920 JP,LASERTEC CORP,1.37,87500,00988A
3711,日月光投控,1.24,1100000,00988A
AIXA GY,AIXTRON SE,1.14,380000,00988A
6274,台燿,1.11,375000,00988A
3017,奇鋐,0.98,215000,00988A
COHR US,COHERENT INC,0.97,55000,00988A
005930 KS,samsung electronics co ltd(005930 KS),0.82,75000,00988A
KLAC US,KLA CORP,0.75,60000,00988A
6871 JP,MICRONICS JAPAN CO LTD,0.74,140000,00988A
6278 JP,UNION TOOL CO,0.66,90000,00988A
688146 CH,PERIC SPECIAL GASES CO LTD-A,0.62,240000,00988A
2308,台達電,0.6,175000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,0.48,50000,00988A
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,0.45,399909,00988A
ARM US,ARM HOLDINGS PLC,0.12,6946,00988A
AMD US,ADVANCED MICRO DEVICES,6.16,163179,00990A
MU US,MICRON TECHNOLOGY INC,5.9,82951,00990A
SNDK US,SANDISK CORP,5.83,45813,00990A
6976 JP,TAIYO YUDEN CO LTD,5.39,585200,00990A
285A JP,KIOXIA HOLDINGS CORP,5.25,152400,00990A
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,4.81,52993,00990A
6981 JP,MURATA MANUFACTURING CO LTD,3.39,689500,00990A
2308,台達電,3.35,744000,00990A
AMAT US,APPLIED MATERIALS INC,3.17,72066,00990A
2454,聯發科,2.92,294000,00990A
BE US,BLOOM ENERGY CORP- A,2.73,138100,00990A
LITE US,LUMENTUM HOLDINGS INC,2.73,51385,00990A
IFX GR,INFINEON TECHNOLOGIES AG,2.7,427856,00990A
4062 JP,IBIDEN CO LTD,2.49,235100,00990A
WDC US,WESTERN DIGITAL CORP,2.49,63342,00990A
MRVL US,MARVELL TECHNOLOGY INC,2.42,135300,00990A
000660 KP,SK HYNIX INC,2.06,19980,00990A
LRCX US,LAM RESEARCH CORP,2.06,80473,00990A
2330,台積電,2.04,363000,00990A
2383,台光電,1.86,144000,00990A
MKSI US,MKS INC,1.77,66300,00990A
3037,欣興,1.73,773000,00990A
COHR US,COHERENT CORP,1.65,67800,00990A
6723 JP,RENESAS ELECTRONICS CORP,1.63,747000,00990A
8035 JP,TOKYO ELECTRON LTD,1.53,46300,00990A
3436 JP,SUMCO CORP,1.48,716100,00990A
6223,旺矽,1.24,75000,00990A
2303,聯電,1.23,3265000,00990A
5347,世界,1.13,2498000,00990A
6997 JP,NIPPON CHEMI-CON CORP,1.11,479600,00990A
6274,台燿,1.03,268000,00990A
ONTO US,ONTO INNOVATION INC,1.0,44500,00990A
UCTT US,ULTRA CLEAN HOLDINGS INC,0.9,116184,00990A
VICR US,VICOR CORP,0.9,43400,00990A
INTC US,INTEL CORP,0.87,98800,00990A
3443,創意,0.84,69000,00990A
ASML US,ASML HOLDING NV-NY REG SHS,0.82,6340,00990A
PENG US,PENGUIN SOLUTIONS INC,0.75,166400,00990A
VECO US,VEECO INSTRUMENTS INC,0.73,173000,00990A
7735 JP,SCREEN HOLDINGS CO LTD,0.7,85200,00990A
3665,貿聯-KY,0.67,144000,00990A
6525 JP,KOKUSAI ELECTRIC CORP,0.67,142700,00990A
4958,臻鼎-KY,0.64,468000,00990A
6920 JP,LASERTEC CORP,0.57,26300,00990A
GLW US,CORNING INC,0.33,23068,00990A
2330,台積電,7.97,1406000,00992A
2383,台光電,7.1,563000,00992A
3017,奇鋐,6.21,1009000,00992A
2345,智邦,5.95,977000,00992A
8996,高力,5.35,1630000,00992A
2059,川湖,5.25,293000,00992A
6223,旺矽,5.15,326000,00992A
3037,欣興,4.43,2097000,00992A
3665,貿聯-KY,4.28,955000,00992A
3008,大立光,4.0,420000,00992A
2454,聯發科,3.86,406000,00992A
2327,國巨*,3.62,1566000,00992A
6584,南俊國際,3.55,2231000,00992A
3443,創意,3.3,311000,00992A
6187,萬潤,2.91,1220000,00992A
2303,聯電,2.68,7000000,00992A
3711,日月光投控,2.55,1629000,00992A
6515,穎崴,2.46,120000,00992A
8299,群聯,2.35,445000,00992A
2455,全新,2.14,2753000,00992A
3661,世芯-KY,2.09,215000,00992A
8021,尖點,1.83,1501000,00992A
6182,合晶,1.62,4500000,00992A
7751,竑騰,1.29,372000,00992A
3583,辛耘,1.12,566000,00992A
3189,景碩,0.77,440013,00992A
6139,亞翔,0.54,250000,00992A
6488,環球晶,0.54,174000,00992A
2337,旺宏,0.45,1343000,00992A
3363,上詮,0.4,300000,00992A
6805,富世達,0.39,109000,00992A
7734,印能科技,0.38,56000,00992A
5289,宜鼎,0.37,98000,00992A
3260,威剛,0.34,358000,00992A
3264,欣銓,0.04,72000,00992A
3491,昇達科,0.0,1000,00992A
5536,聖暉*,9.83,3716000,00982A
2330,台積電,8.92,1967000,00982A
2454,聯發科,6.52,857000,00982A
6139,亞翔,5.27,3067000,00982A
6223,旺矽,3.88,307000,00982A
2345,智邦,3.87,794000,00982A
4958,臻鼎-KY,3.36,3147000,00982A
2360,致茂,3.31,823000,00982A
2383,台光電,3.29,326000,00982A
3105,穩懋,3.22,4143000,00982A
6488,環球晶,2.79,1134000,00982A
